specialty,product-cat,caption,vendor,order_date,expiry_date,quantity,unit_cost,total_cost,shelf_life_days,days_to_expiry,product_order_count,avg_reorder_gap_days,risk_score,risk_tier
Hollowware,Bucket,Pail (Bucket) with Cover,Bard,2024-07-12,2028-07-12,25,102.704,2567.6,1461,714,8,128.25,15.8,Low
Surgery,Suction Units Portable,"Suction Unit - AC/DC, MS (15 Ltrs./Min)",Gesco Healthcare,2024-03-21,2028-03-21,3,1976.8,5930.4,1461,601,10,97.4,15.8,Low
Anesthesia Equipment,Bain Circuit,IndoSurgicals Bain Circuit (Adult),Bard,2024-12-19,2027-12-19,28,49.9,1397.2,1095,508,20,46.0,15.8,Low
Surgery,Retractor,Adson-Beckman Retractor Folding,Reckitt Benckiser,2023-12-26,2027-12-26,26,369.9,9617.4,1461,515,21,48.285714285714285,15.8,Low
Surgery,Forceps,Mayo-Hegar Needle Holding Forceps,Bard,2023-10-31,2027-10-31,28,33.6,940.8,1461,459,18,59.611111111111114,15.8,Low
General,Height & Weight Scales,Mid Upper Arm Circumference (MUAC) Tape,Vishal Surgitech,2024-07-08,2027-07-08,15,1.9,28.5,1095,344,18,59.333333333333336,15.8,Low
Surgery,Scissors,Metzenbaum Scissors (Curved),Medtronic,2023-11-02,2027-11-02,7,37.9,265.3,1461,461,16,59.1875,15.8,Low
Cardiothoracic Instrument,Retractor,IMA Retractor,Fresenius,2025-01-30,2029-01-30,40,1589.9,63596.0,1461,916,20,41.3,15.8,Low
Laparoscopic Instrument,Cables,Biclamp Cable,Abbott,2023-12-13,2027-12-13,11,144.9,1593.9,1461,502,11,71.36363636363636,15.8,Low
Ortho Aid,Fracture Aids,Exercising Ball,Rama Surgical House,2024-10-05,2028-10-05,13,11.445,148.785,1461,799,6,152.0,15.8,Low
Anesthesia Equipment,Artificial Resuscitator,Silicone Artificial Resuscitator (Ambu Type Bag) Infant,Fortis Healthcare Limited,2024-04-19,2027-04-19,26,79.9,2077.4,1095,264,45,23.755555555555556,15.8,Low
Surgery,Instrument Kit,EYE Instrument Kit,Lotus Surgicals,2023-11-25,2027-11-25,2,549.9,1099.8,1461,484,14,65.71428571428571,15.8,Low
General,Stethoscope,IndoSurgicals Dulcet Black Stethoscope,ACCURATE MACHINES,2024-05-18,2027-05-18,6,21.9,131.4,1095,293,27,40.48148148148148,15.8,Low
Surgery,Forceps,Kogan Endocervical Speculum,Ben Franklin Opticians,2023-08-12,2027-08-12,9,479.9,4319.1,1461,379,22,37.22727272727273,15.8,Low
Anesthesia Equipment,Artificial Resuscitator,Silicone Artificial Resuscitator (Ambu Type Bag) Adult,AJMERA BIO-MEDICAL ENGINEERS,2024-04-11,2027-04-11,13,89.9,1168.7,1095,256,37,27.135135135135137,15.8,Low
Furniture,Hospital Ward Furniture,Revolving Patient Stool (SS),B. Braun,2024-09-16,2028-09-16,2,342.2,684.4,1461,780,5,144.8,15.7,Low
Anesthesia Equipment,Laryngoscope,Fiber Optic LED Laryngoscope Set Macintosh,Poly Medicure,2024-10-03,2027-10-03,28,672.0,18816.0,1095,431,22,47.18181818181818,15.7,Low
Surgery,Forceps,"Ovum Forceps 10""",Girish Surgical Works,2024-03-16,2028-03-16,33,52.5,1732.5,1461,596,17,59.411764705882355,15.7,Low
Linen,Patient Identification Wristbands,"Child Identification Band (ID Band), (Pack of 100 Pcs.)",Hindustan Surgical,2024-04-13,2028-04-13,21,49.9,1047.9,1461,624,5,102.6,15.7,Low
Hollowware,General Quality,"IndoSurgicals Instrument Tray 14x10"" (General Quality)",Dolphin Surgical,2024-01-22,2028-01-22,20,69.9,1398.0,1461,542,10,80.9,15.7,Low
Lab Plasticware,Lab Connectors,Connectors (L Shaped) (Pack of 36 Pcs.),Trivitron Healthcare Private Limited,2025-03-11,2029-03-11,9,46.374,417.366,1461,956,5,192.8,15.7,Low
Radiology Aid,Gonad & Ovarian Shields,Gonad/Ovary Shield (BARC Approved),GPC Medical,2024-03-28,2028-03-28,19,148.4,2819.6,1461,608,10,97.9,15.7,Low
Linen,Disposable Gloves,"Surgical Gloves Latex, Sterile (Pack of 50 Pairs)",Hindustan Surgical,2024-08-11,2028-08-11,33,89.376,2949.408,1461,744,5,135.0,15.7,Low
Lab Equipment,Hot Air Sterilizers,"Hot Air Sterilizer, Triple Wall with Air Circulating System upto 250ÂºC 216 Ltrs",GPC Medical,2024-01-26,2028-01-26,8,10269.056,82152.448,1461,546,12,81.5,15.7,Low
Misc Products,Tourniquet,Pneumatic Tourniquet System,Palakkad Surgical,2024-04-12,2028-04-12,11,235.2,2587.2,1461,623,8,103.0,15.7,Low
Surgery,Instrument Kit,Microsurgery Glaucoma Set,Romsons,2023-11-05,2027-11-05,15,1199.9,17998.5,1461,464,16,59.625,15.7,Low
Linen,Hospital Uniform,"IndoSurgicals Scrub Suit for Doctors, Unisex, Poly Cotton (Bottle Green)",Thyrocare Technologies Limited,2025-01-11,2029-01-11,18,69.9,1258.2,1461,897,3,177.0,15.7,Low
General,Cylinder,Humidifier Bottle 200ml Autoclavable Plastic,Reckitt Benckiser,2024-11-26,2027-11-26,35,70.446,2465.61,1095,485,43,22.302325581395348,15.7,Low
Spine Surgery,Screw,Pedicle screw,M/S IMADE TECHNOLOGY PRIVATE LIMITED,2024-04-29,2028-04-29,28,245.6,6876.8,1461,640,3,65.0,15.7,Low
Spine Surgery,Forceps,Disc Punch Forceps (Serrated) Down,Fresenius,2024-11-28,2028-11-28,1,349.9,349.9,1461,853,6,165.5,15.7,Low
Lab Plasticware,Lab Bottles,Carboy with Stop Cock,Fresenius,2024-04-01,2028-04-01,21,189.39,3977.19,1461,612,7,99.14285714285714,15.7,Low
Surgery,Scissors,Tonsil Scissors (Curved),Hindustan Syringes,2024-02-01,2028-02-01,29,37.9,1099.1,1461,552,18,57.72222222222222,15.7,Low
Surgery,Forceps,Dissecting Forceps Plain,Terumo,2023-10-19,2027-10-19,17,19.9,338.3,1461,447,18,54.44444444444444,15.7,Low
Ortho Instruments,Saw,Oscillating Saw For Joint Operation,Reckitt Benckiser,2024-12-18,2028-12-18,2,5028.8,10057.6,1461,873,4,170.25,15.7,Low
Anesthesia Equipment,Laryngoscope,IndoSurgicals Disposable Miller Type Fiber Optic Laryngoscope (Pack of 1 Blade & 1 Handle),CDR MEDICAL INDUSTRIES,2024-06-03,2027-06-03,20,70.0,1400.0,1095,309,23,44.69565217391305,15.7,Low
Surgery,Scissors,Mayo Scissors (Straight) Bladed Blunt/Blunt,Rama Surgical House,2023-12-13,2027-12-13,23,41.9,963.7,1461,502,15,69.6,15.7,Low
Radiology Aid,Lead Aprons,StPbÂ® Full Protection - Full Over Lap (Wrap Around Lead Vest & Skirt),Cook India,2024-03-25,2028-03-25,17,1400.0,23800.0,1461,605,9,96.44444444444444,15.6,Low
Radiology Aid,Lead Aprons,NoPbÂ® Full Protection - Full Over Lap (Wrap Around Lead Vest & Skirt),B. Braun,2024-07-01,2028-07-01,1,2716.0,2716.0,1461,703,4,122.5,15.6,Low
Sterilizers,Sterilization Cassette,Instrument Sterilization Cassette,Tynor Orthotics,2024-10-23,2027-10-23,1,89.6,89.6,1095,451,8,96.0,15.6,Low
Laparoscopic Instrument,Trocar with Cannula,Trocar Flap Multifunction SS,Sree Balaji Surgicals,2024-06-26,2028-06-26,11,422.9,4651.9,1461,698,2,121.5,15.6,Low
Surgery,Retractor,Volkmann Retractor (Blunt),Hindustan Syringes,2024-02-11,2028-02-11,7,35.0,245.0,1461,562,9,84.55555555555556,15.6,Low
OB/GYN Instruments,Vaginal Speculum Cusco / Duck Bill (Sims),Vaginal Speculum - Cusco,Ambu,2023-12-10,2027-12-10,1,19.9,19.9,1461,499,15,67.66666666666667,15.6,Low
Lab Plasticware,Test Tubes,"Centrifuge Tube Conical Bottom, Polypropylene (PP) (100 Pcs.)",KLS Martin India,2024-06-17,2028-06-17,1,203.786,203.786,1461,689,6,118.66666666666667,15.6,Low
Surgery,Forceps,Dissecting Forceps Plain,Terumo,2023-10-24,2027-10-24,7,19.9,139.3,1461,452,18,54.44444444444444,15.6,Low
Anesthesia Equipment,Anaesthesia Face Masks,"Face Mask, Size 1",CDR MEDICAL INDUSTRIES,2025-03-19,2028-03-19,33,19.6,646.8,1096,599,19,56.1578947368421,15.6,Low
Anesthesia Equipment,Anesthesia Machine,Anesthesia Apparatus,Becton Dickinson,2024-06-21,2027-06-21,25,7280.0,182000.0,1095,327,21,49.857142857142854,15.6,Low
General,Cylinder,Oxygen Cylinder 2.0 Ltrs.,Vishal Surgitech,2024-04-04,2027-04-04,25,649.0,16225.0,1095,249,44,22.704545454545453,15.6,Low
Anesthesia Equipment,Bain Circuit,IndoSurgicals Bain Circuit (Child),Girish Surgical Works,2024-07-24,2027-07-24,21,44.9,942.9,1095,360,17,62.35294117647059,15.6,Low
Surgery,Suction Units Electric,Suction Unit - SS (35 Ltrs./Min),Olympus,2024-01-02,2028-01-02,31,2688.0,83328.0,1461,522,13,62.15384615384615,15.6,Low
Other Instruments,Kit,Resuscitation Kit,Narang,2024-09-08,2028-09-08,35,499.9,17496.5,1461,772,32,31.96875,15.6,Low
Laparoscopic Instrument,Trocar with Cannula,Safety Trocar 3 Blades (3 Dhari) SS,Delux Surgical,2024-04-06,2028-04-06,2,219.9,439.8,1461,617,9,99.88888888888889,15.6,Low
Surgery,Scissors,Umbilical Cord Cutting Scissors,Ambu,2024-12-15,2028-12-15,36,45.9,1652.4,1461,870,12,81.66666666666667,15.6,Low
Radiology Aid,X-Ray View Box,LED X-Ray View Box Single Film with Dimmer & Sensor (General Quality),Romsons,2024-02-27,2028-02-27,2,174.9,349.8,1461,578,10,88.7,15.6,Low
Surgery,Retractor,Tracheal Hook/Retractor Sharp One Prong,Delux Surgical,2023-12-27,2027-12-27,2,20.0,40.0,1461,516,15,72.6,15.6,Low
Furniture,Hospital Trolleys,Instrument Trolley,Cook India,2025-01-23,2029-01-23,3,592.95,1778.85,1461,909,5,179.0,15.6,Low
Laparoscopic Instrument,Bipolars,Bipolar Maryland,Dolphin Surgical,2024-06-02,2028-06-02,20,356.9,7138.0,1461,674,7,115.14285714285714,15.6,Low
Linen,Pillow & Pillow Cover,Hospital Pillow Cover (5 Pcs.),Romsons Group Of Industries,2025-03-12,2029-03-12,22,55.44,1219.68,1461,957,5,145.2,15.5,Low
Surgery,Scalpel,B.P. Handle (Scalpel Handle) No. 7,Ambu,2023-10-09,2027-10-09,26,16.8,436.8,1461,437,24,43.375,15.5,Low
Surgery,Forceps,Fine Dissecting Forceps (Jewellers Forceps),Intersurgical,2024-01-06,2028-01-06,5,19.9,99.5,1461,526,14,74.0,15.5,Low
Laparoscopic Instrument,Bipolars,Bipolar Ruby,Becton Dickinson,2024-05-11,2028-05-11,18,356.9,6424.2,1461,652,9,108.22222222222223,15.5,Low
Hollowware,Deluxe Quality,"IndoSurgicals Instrument Tray 14x10"" (Deluxe Quality)",Max Healthcare Institute Limited,2025-02-19,2029-02-19,38,109.9,4176.2,1461,936,3,184.66666666666666,15.5,Low
Neurology Instruments,Scissors,Schmieden-Taylor Dural Scissors,Bard,2024-11-11,2028-11-11,20,129.9,2598.0,1461,836,4,157.75,15.5,Low
Anesthesia Equipment,Oxygen Mask,Oxygen Mask for Adults,Fortis Healthcare Limited,2024-06-25,2027-06-25,17,19.9,338.3,1095,331,18,50.0,15.5,Low
Anesthesia Equipment,Oxygen Mask,Oxygen Mask for Adults,B. Braun,2024-06-22,2027-06-22,14,19.9,278.6,1095,328,18,50.0,15.5,Low
Surgery,Forceps,Dissecting Forceps Toothed,Sree Balaji Surgicals,2024-06-06,2028-06-06,29,19.9,577.1,1461,678,11,92.36363636363636,15.5,Low
Ortho Instruments,Bender,Plate Bender Large (Pair),Boston Scientific,2025-02-18,2029-02-18,22,134.4,2956.8,1461,935,5,185.0,15.5,Low
ENT Instruments,Curette,Antrum Curette Oval (Curved),Rama Surgical House,2024-10-11,2028-10-11,32,45.9,1468.8,1461,805,5,120.6,15.5,Low
Neurology Instruments,Retractor,"Jansen Retractor 3 x 3 Blunt Prongs, 3""",Girish Surgical Works,2025-01-30,2029-01-30,18,289.9,5218.2,1461,916,5,166.4,15.5,Low
Laparoscopic Instrument,Graspers,Fenestrated Grasper Single Action 5mm,Narang,2024-06-12,2028-06-12,8,219.9,1759.2,1461,684,6,116.16666666666667,15.5,Low
Laparoscopic Instrument,Bipolars,Bipolar Maryland,Poly Medicure,2024-06-09,2028-06-09,20,356.9,7138.0,1461,681,7,115.14285714285714,15.5,Low
Surgery,Scissors,"Tungsten Carbide (TC), Mayo Scissor, Curved",HI-TECH LAB PRODUCTS,2024-02-02,2028-02-02,25,199.9,4997.5,1461,553,14,75.07142857142857,15.5,Low
Linen,Lab Coat,"Unisex Lab Coat (Length 37"")",Integra,2024-11-15,2028-11-15,7,69.9,489.3,1461,840,6,159.0,15.5,Low
Surgery,Scissors,Supercut Metzenbaum Scissor (Straight) with Black Handle,Baxter,2023-10-21,2027-10-21,12,112.0,1344.0,1461,449,16,52.75,15.5,Low
Urology,Catheter,Silicone Foley catheter,Becton Dickinson,2024-06-12,2028-06-12,7,34.5,241.5,1461,684,6,116.0,15.5,Low
Rubber Products,Enema Kit / Douche Bag,"Douche Bag, 2 litre",Opto Circuits India Limited,2024-09-05,2028-09-05,5,58.41,292.05,1461,769,6,140.16666666666666,15.5,Low
Lab Equipment,Medium Centrifuge,"Medium Centrifuge Without Timer, 6 x 15ml",Integra,2024-06-06,2028-06-06,19,1044.3,19841.7,1461,678,7,114.57142857142857,15.5,Low
General,Cylinder,Oxygen Cylinder 46.7 Ltrs.,Poly Medicure,2024-04-12,2027-04-12,12,1661.44,19937.28,1095,257,44,23.818181818181817,15.5,Low
Surgery,Suction Units Manual,Hand Held Suction Unit,Johnson & Johnson,2025-03-07,2029-03-07,35,483.84,16934.4,1461,952,14,73.07142857142857,15.5,Low
Surgery,Forceps,Bonney Plain Forceps,Vishal Surgitech,2023-10-21,2027-10-21,1,26.9,26.9,1461,449,20,52.15,15.5,Low
Furniture,Hospital Beds,ICU Bed Mechanical with Laminated SS Panel,Vishal Surgitech,2024-01-05,2028-01-05,14,4548.664,63681.296,1461,525,6,73.33333333333333,15.5,Low
Lab Equipment,Laboratory Microscope,Binocular Microscope,Sree Balaji Surgicals,2024-03-17,2028-03-17,15,4041.296,60619.44,1461,597,8,93.0,15.5,Low
Anesthesia Equipment,Laryngoscope,LED Laryngoscope Set Miller (Deluxe Quality),HI-TECH LAB PRODUCTS,2024-05-12,2027-05-12,7,240.24,1681.68,1095,287,31,34.45161290322581,15.5,Low
Lab Plasticware,Atomic Models,Atomic Model Set,Max Healthcare Institute Limited,2024-07-26,2028-07-26,20,72.9,1458.0,1461,728,7,80.57142857142857,15.5,Low
Cardiothoracic Instrument,Retractor,Morse Sternal Retractor,Stryker,2024-08-10,2028-08-10,41,889.9,36485.9,1461,743,13,63.76923076923077,15.5,Low
Surgery,Suction Units Electric,Suction Unit (60 Ltrs./min),Inor Medical Products Ltd,2023-11-15,2027-11-15,7,3124.9,21874.3,1461,474,17,59.64705882352941,15.5,Low
Lab Plasticware,Micropipettes and Tips,Micropipette Tips 200-1000 ul (Pack of 500 Pcs.),Sree Balaji Surgicals,2024-07-19,2028-07-19,10,49.442,494.42,1461,721,8,127.0,15.5,Low
General,Resuscitator,Silicone Artificial Resuscitator (Ambu Type Bag) Child,3M India,2024-04-06,2027-04-06,1,79.9,79.9,1095,251,48,21.979166666666668,15.5,Low
General,Stethoscope,IndoSurgicals Silvery III Stethoscope,KLS Martin India,2024-12-26,2027-12-26,36,159.9,5756.4,1095,515,21,51.19047619047619,15.5,Low
Ortho Instruments,Cutter,Bone Cutter (Double Action) - Straight,Braun Medical India,2024-01-22,2028-01-22,14,168.0,2352.0,1461,542,11,77.27272727272727,15.5,Low
Neurology Instruments,Hook,Yasargil Galea Fixation Spring Hook,Lotus Surgicals,2024-10-10,2028-10-10,13,279.9,3638.7,1461,804,6,149.66666666666666,15.5,Low
Hollowware,Douche Can,Douche Cans (Irrigators),Palakkad Surgical,2025-03-20,2029-03-20,35,33.04,1156.4,1461,965,6,172.83333333333334,15.4,Low
General,Cylinder,Oxygen Cylinder 10.2 Ltrs.,Braun Medical India,2024-05-04,2027-05-04,1,843.7,843.7,1095,279,33,30.87878787878788,15.4,Low
Furniture,Hospital Ward Furniture,Saline Stand SS,Integra,2024-07-18,2028-07-18,23,295.0,6785.0,1461,720,6,124.66666666666667,15.4,Low
Surgery,Suction Units Electric,Suction Unit - SS (35 Ltrs./Min),Gesco Healthcare,2024-11-15,2028-11-15,38,2688.0,102144.0,1461,840,13,62.15384615384615,15.4,Low
Cardiothoracic Instrument,Retractor,Morse Sternal Retractor,Trivitron Healthcare Private Limited,2023-12-05,2027-12-05,19,889.9,16908.1,1461,494,13,63.76923076923077,15.4,Low
Surgery,Retractor,Dennis Browne Ring Retractor with 4 Doyen's Blades,Stryker,2024-02-08,2028-02-08,19,959.9,18238.1,1461,559,11,80.9090909090909,15.4,Low
Hollowware,Super Deluxe Quality,"Dressing Drum 11"" x 9"" (Super Deluxe) Seamless",Abbott,2024-05-07,2028-05-07,5,159.9,799.5,1461,648,5,105.2,15.4,Low
Linen,Hospital Uniform,IndoSurgicals Scrub Suits for Women Doctors Poly Cotton (Faux Wrap Neck),Siemens Healthineers,2025-01-06,2029-01-06,15,74.9,1123.5,1461,892,5,171.2,15.4,Low
Surgery,Forceps,Tungsten Carbide (TC) Ryder Needle Holder,Karl Storz,2023-10-29,2027-10-29,13,189.9,2468.7,1461,457,18,53.666666666666664,15.4,Low
Surgery,Instrument Kit,Laparotomy Instrument Kit (Adult),Opto Circuits India Limited,2023-11-22,2027-11-22,2,817.6,1635.2,1461,481,15,60.53333333333333,15.4,Low
Ortho Aid,Back Splints,Lumbo Sacral Support,Intersurgical,2023-12-18,2027-12-18,28,49.14,1375.92,1461,507,8,67.5,15.4,Low
Ortho Aid,Patient Lifting Aid,Patient Lifting Aid/Belt with Handles,Apollo Hospitals Enterprise Limited,2023-12-01,2027-12-01,2,79.9,159.8,1461,490,6,62.833333333333336,15.4,Low
Rubber Products,Stomach Pump Tube,Stomach Pump Tube,Dr. Lal PathLabs Limited,2024-02-09,2028-02-09,11,45.312,498.432,1461,560,9,80.88888888888889,15.4,Low
OB/GYN Instruments,OB/GYN,Lateral Vaginal Wall Retractor,Boston Scientific,2024-12-02,2028-12-02,1,389.9,389.9,1461,857,5,162.2,15.4,Low
Ortho Instruments,Hammer,Goniometer Set of 3 with Knee Hammer & Measuring Tape,Vishal Surgitech,2024-08-13,2028-08-13,19,82.9,1575.1,1461,746,6,131.66666666666666,15.4,Low
Laparoscopic Instrument,Cables,Monopolar Cable,Integra,2024-12-05,2028-12-05,8,144.9,1159.2,1461,860,6,163.0,15.4,Low
Disposables,Urology,Sterimed Silicone Foley Balloon Catheter 3 Way,ACCURATE MACHINES,2024-12-30,2028-12-30,19,21.28,404.32,1461,885,4,150.75,15.4,Low
Lab Equipment,Laboratory Microscope,Binocular Microscope,Johnson & Johnson,2024-03-21,2028-03-21,8,4041.296,32330.368,1461,601,8,93.0,15.4,Low
Surgery,Forceps,Cervical Punch Biopsy Forceps,Santosh Surgical Instruments,2024-01-19,2028-01-19,3,103.9,311.7,1461,539,12,75.58333333333333,15.4,Low
ENT Instruments,Speculum,Killian Nasal Speculum,M/S IMADE TECHNOLOGY PRIVATE LIMITED,2024-05-10,2028-05-10,25,99.9,2497.5,1461,651,6,103.66666666666667,15.4,Low
Monitor,BP Monitor,Rossmax GD101 Palm Type Aneroid Blood Pressure Monitor,CDR MEDICAL INDUSTRIES,2024-12-06,2028-12-06,39,190.0,7410.0,1461,861,11,86.45454545454545,15.4,Low
Surgery,Instrument Kit,EYE Instrument Kit,Thyrocare Technologies Limited,2023-12-14,2027-12-14,4,549.9,2199.6,1461,503,14,65.71428571428571,15.4,Low
Other Instruments,Airway,Gudel Pattern Airways,Johnson & Johnson,2024-03-19,2028-03-19,25,25.2,630.0,1461,599,8,87.125,15.4,Low
Ortho Aid,Fracture Aids,Cast Shoe,Stryker,2024-11-06,2028-11-06,2,33.39,66.78,1461,831,5,155.0,15.4,Low
Surgery,Suction Units Electric,Suction Unit - SS (35 Ltrs./Min),Siemens Healthineers,2024-08-20,2028-08-20,36,2688.0,96768.0,1461,753,13,62.15384615384615,15.4,Low
Lab Plasticware,Funnels,Buchner Funnel,Boston Scientific,2024-06-03,2028-06-03,1,114.578,114.578,1461,675,6,112.66666666666667,15.4,Low
Surgery,Retractor,Tracheal Hook/Retractor Blunt Two Prongs,Terumo,2024-01-25,2028-01-25,8,23.5,188.0,1461,545,12,77.83333333333333,15.4,Low
Surgery,Forceps,Ryder Needle Holder 8â€,Sree Balaji Surgicals,2023-11-19,2027-11-19,18,52.0,936.0,1461,478,16,59.0625,15.4,Low
General,Stethoscope,IndoSurgicals Silvery III-SS Stethoscope,Becton Dickinson,2024-07-12,2027-07-12,4,179.9,719.6,1095,348,18,55.94444444444444,15.4,Low
Gastroenterology Instruments,Rectal Speculum,Pratt Rectal Speculum,Dr. Lal PathLabs Limited,2024-03-18,2028-03-18,16,366.9,5870.4,1461,598,7,92.14285714285714,15.4,Low
General,Cylinder,Oxygen Cylinder 2.0 Ltrs.,Delux Surgical,2024-04-13,2027-04-13,13,649.0,8437.0,1095,258,44,22.704545454545453,15.4,Low
Lab Plasticware,General Labware,Specimen Jar (Gas Jar) (Pack of 12 Pcs.),Siemens Healthineers,2023-12-27,2027-12-27,8,101.362,810.896,1461,516,10,68.2,15.3,Low
Laparoscopic Instrument,Retractor,Liver Retractor,SISCO ,2024-09-25,2028-09-25,11,1154.9,12703.9,1461,789,6,142.66666666666666,15.3,Low
Lab Equipment,Medium Centrifuge,"Medium Centrifuge Without Timer, 12 x 5ml",Rama Surgical House,2024-01-09,2028-01-09,8,1330.45,10643.6,1461,529,9,71.66666666666667,15.3,Low
Lab Plasticware,Atomic Models,Atomic Model Set,M/S IMADE TECHNOLOGY PRIVATE LIMITED,2024-04-04,2028-04-04,17,72.9,1239.3,1461,615,7,80.57142857142857,15.3,Low
OB/GYN Instruments,OB/GYN,Tischler Morgan Biopsy Punch Forceps,Ambu,2024-07-01,2028-07-01,30,489.9,14697.0,1461,703,6,118.83333333333333,15.3,Low
Surgery,Scissors,Stevens Tenotomy Scissors (Curved),Hindustan Surgical,2024-02-16,2028-02-16,23,46.9,1078.7,1461,567,13,81.92307692307692,15.3,Low
Anesthesia Equipment,Oxygen Cylinder & Regulators,Flow Meter with Humidifier Bottle,KLS Martin India,2024-12-05,2027-12-05,32,169.9,5436.8,1095,494,43,24.41860465116279,15.3,Low
Linen,Lab Coat,"Female Lab Coat (Length 28"")",ACCURATE MACHINES,2024-08-01,2028-08-01,12,49.9,598.8,1461,734,6,127.66666666666667,15.3,Low
Surgery,Scissors,Tonsil Scissors (Curved),Baxter,2023-11-17,2027-11-17,2,37.9,75.8,1461,476,18,57.72222222222222,15.3,Low
Hollowware,Deluxe Quality,"Dressing Drum 6"" x 6"" (Deluxe Quality)",Medtronic,2024-08-23,2028-08-23,24,64.9,1557.6,1461,756,9,116.55555555555556,15.3,Low
Surgery,Scissors,Mayo Scissors (Straight) Bladed Blunt/Blunt,Sree Balaji Surgicals,2024-01-02,2028-01-02,27,41.9,1131.3,1461,522,15,69.6,15.3,Low
Anesthesia Equipment,Oxygen Mask,Oxygen Mask for Child,Medtronic,2024-05-06,2027-05-06,17,19.9,338.3,1095,281,35,30.34285714285714,15.3,Low
ENT Instruments,Forceps,King Vein Graft Press Forceps,M/S IMADE TECHNOLOGY PRIVATE LIMITED,2024-06-07,2028-06-07,22,61.9,1361.8,1461,679,8,113.125,15.3,Low
OB/GYN Instruments,Vaginal Speculum Cusco / Duck Bill (Sims),Vaginal Speculum - Duck Bill (Sims),Romsons,2023-11-18,2027-11-18,5,19.9,99.5,1461,477,17,57.11764705882353,15.3,Low
Anesthesia Equipment,Oxygen Cylinder & Regulators,Humidifier Bottle 200ml Autoclavable Plastic,GE Healthcare,2024-04-15,2027-04-15,13,70.446,915.798,1095,260,43,22.302325581395348,15.3,Low
Surgery,Retractor,Cloward Spreader,Thyrocare Technologies Limited,2024-01-11,2028-01-11,33,625.9,20654.7,1461,531,15,65.13333333333334,15.3,Low
Surgery,Suction Units Manual,Foot Suction Unit - MS Base,Fresenius,2023-10-09,2027-10-09,16,677.6,10841.6,1461,437,20,47.15,15.3,Low
Hollowware,Bucket,Pail (Bucket) with Cover,KLS Martin India,2024-08-04,2028-08-04,23,102.704,2362.192,1461,737,8,128.25,15.3,Low
Opthalmology Instruments,Vectis,Lewis Lens Loop Vectis,B. Braun,2024-08-09,2028-08-09,28,28.9,809.2,1461,742,8,130.125,15.3,Low
Surgery,Instrument Kit,EYE Instrument Kit,Narang,2023-12-16,2027-12-16,13,549.9,7148.7,1461,505,14,65.71428571428571,15.3,Low
Surgery,Instrument Kit,ICD Set,Johnson & Johnson,2023-11-04,2027-11-04,1,380.8,380.8,1461,463,18,53.833333333333336,15.3,Low
General,Stethoscope,IndoSurgicals Silvery Stethoscope (Free Engraving),Fortis Healthcare Limited,2024-05-30,2027-05-30,11,74.9,823.9,1095,305,26,38.57692307692308,15.3,Low
Hollowware,Deluxe Quality,"IndoSurgicals Instrument Tray 18x12"" (Deluxe Quality)",Cook India,2024-07-02,2028-07-02,10,119.9,1199.0,1461,704,4,119.0,15.3,Low
Opthalmology Instruments,Forceps,Suture Tying Forcep (Straight),Johnson & Johnson,2023-09-16,2027-09-16,50,58.9,2945.0,1461,414,25,40.68,15.3,Low
Other Instruments,Electrocardiograph,"CONTEC ECG300G Electrocardiograph, Digital 3 Channel",Reckitt Benckiser,2024-08-30,2028-08-30,25,4139.52,103488.0,1461,763,6,135.0,15.3,Low
Surgery,Forceps,Mosquito Artery Forceps Curved/Hemostatic Forceps,Rama Surgical House,2024-04-12,2028-04-12,23,29.9,687.7,1461,623,13,56.30769230769231,15.3,Low
Radiology Aid,Gonad & Ovarian Shields,Gonad/Ovary Shield (BARC Approved),Narang,2024-04-15,2028-04-15,24,148.4,3561.6,1461,626,10,97.9,15.3,Low
Furniture,Hospital Beds,ICU Bed Mechanical with Laminated SS Panel,CDR MEDICAL INDUSTRIES,2024-07-08,2028-07-08,30,4548.664,136459.92,1461,710,6,73.33333333333333,15.3,Low
Surgery,Instrument Kit,Gynecology Instruments Set,Vishal Surgitech,2024-11-08,2028-11-08,32,179.2,5734.4,1461,833,10,97.4,15.3,Low
Lab Plasticware,Racks & Stands,Rack For Scintillation Vial (Pack of 2 Pcs.),Intersurgical,2024-11-07,2028-11-07,26,113.024,2938.624,1461,832,5,154.4,15.3,Low
Surgery,Instrument Kit,Debridement Instruments Set,GPC Medical,2024-12-26,2028-12-26,38,117.6,4468.8,1461,881,15,63.06666666666667,15.3,Low
Surgery,Forceps,Fine Dissecting Forceps (Jewellers Forceps),Cook India,2024-04-27,2028-04-27,25,19.9,497.5,1461,638,14,74.0,15.3,Low
Linen,Hospital Uniform,"IndoSurgicals Scrub Suit for Doctors, Unisex, Poly Cotton (Black)",Delux Surgical,2024-07-04,2028-07-04,27,69.9,1887.3,1461,706,3,119.33333333333333,15.3,Low
OB/GYN Instruments,OB/GYN,Tischler Morgan Biopsy Punch Forceps,Johnson & Johnson,2025-03-03,2029-03-03,42,489.9,20575.8,1461,948,6,118.83333333333333,15.2,Low
Surgery,Forceps,"Intestinal Clamp Forceps 10"" Straight",Sree Balaji Surgicals,2023-12-14,2027-12-14,20,72.8,1456.0,1461,503,16,63.0,15.2,Low
