specialty,product-cat,caption,price,description,weight,vendor,order_date,expiry_date,quantity,unit_cost,total_cost
Hollowware,Deluxe Quality,"IndoSurgicals Instrument Tray 11x7"" (Deluxe Quality)",599,Stainless steelWith cover                     Item Code             Size (approx.)             Qu..,0.000497512,Stryker,22/07/2024,22/07/2028,50,59.9,2995
Surgery,Retractor,Tracheal Hook/Retractor Sharp One Prong,200,Tracheal Hook/Retractor Sharp One Prong.Manufactured from stainless steel.Highly polished finish for..,0.001492537,Intersurgical,30/06/2023,30/06/2027,21,20,420
Surgery,Suction Units Portable,Suction Unit - ABS (20 Ltrs./Min),8960,Housing : Complete ABS  (Plastic)Jars : Polycarbonate 1000ml  capacityOverflow Protection : Mechanic..,0.001492537,Romsons Group Of Industries,21/08/2024,21/08/2028,26,896,23296
Monitor,BP Monitor,Omron Automatic Blood Pressure Monitor,1909.6,"Easy, One-Touch OperationHypertension IndicatorBody Movement DetectionIrregular Heartbeat DetectionM..",0.000995025,HI-TECH LAB PRODUCTS,5/7/2022,5/7/2026,17,190.96,3246.32
Hollowware,Bowl & Basin,Basins General Quality (Pack of 5 Pcs.),985.6,"Stainless SteelÂ BasinsGeneral QualityPack of 5 Pcs.  Item Code    Size    70052    250mm (10"") ..",0.000497512,3M India,27/08/2024,27/08/2028,32,98.56,3153.92
Surgery,Forceps,Allis Tissue Forceps Straight,369,"Size : 5"", 6"", 8"" & 10""Forgings from stainless steel.Silk matte satin finishTo grasp and handle ..",0.001492537,Delux Surgical,12/7/2024,12/7/2028,40,36.9,1476
Opthalmology Instruments,Hook,Jameson Muscle Hook,199,Stainless SteelReusablePremium Grade..,0.000497512,Romsons Group Of Industries,25/02/2023,25/02/2027,19,19.9,378.1
Radiology Aid,Lead Aprons,NoPbÂ® Full Protection - Full Over Lap (Wrap Around Lead Vest & Skirt),27160,A two piece garment consisting of a vest to protect the upper torso front and back and an overlappin..,0.000497512,Lotus Surgicals,11/6/2023,11/6/2027,38,2716,103208
General,Cylinder,Oxygen Cylinder 2.0 Ltrs.,6490,"Empty Oxygen Cylinder, Water capacity 2.0 Litre. Supplied with F A Valve with Flowmeter and Pressur..",0.00199005,M/S IMADE TECHNOLOGY PRIVATE LIMITED,21/05/2022,21/05/2025,18,649,11682
General,Cylinder,Portable Oxygen Cylinder 6 liters,800.8,Oxygen for personal use comes packaged in a 500 ml OXY99 can comprising of 6 liters of oxygen. Now t..,0.00199005,M/S IMADE TECHNOLOGY PRIVATE LIMITED,20/11/2023,20/11/2026,23,80.08,1841.84
Lab Plasticware,Coplin Jar & Slide Boxes,"Slide Box, Polystyrene (PS)",179,"These Slide Boxes are durable, compact & provide utmost protection to 1""x3"" slides. Heavy walls ..",0.000497512,Hindustan Surgical,26/04/2024,26/04/2028,4,17.9,71.6
Linen,Lab Coat,"Unisex Lab Coat (Length 41"")",799,Return/Replacement will not allow after Embroidery.Premium quality unisex medical lab coat from Indo..,0.000497512,Ben Franklin Opticians,10/11/2024,10/11/2028,29,79.9,2317.1
Laparoscopic Instrument,Cables,Bipolar Cable,1449,"Key Features:âœ” Superior Durability: Made from high-quality, medical-grade materials for long-term us..",0.000497512,Shilpa Medicare Limited,5/7/2023,5/7/2027,17,144.9,2463.3
Surgery,Forceps,Adson Tissue Forceps Toothed,199,"Manufactured from German stainless steel Product Conforms to ISO, CE-Quality Mark and other Quality..",0.001492537,Fresenius,18/09/2022,18/09/2026,26,19.9,517.4
Radiology Aid,Lead Aprons,StPbÂ® Full Protection - Full Over Lap (Wrap Around Lead Apron),9744,These special procedure one-piece Lead Aprons have been designed to fully overlap at the front from ..,0.000497512,HI-TECH LAB PRODUCTS,5/8/2022,5/8/2026,47,974.4,45796.8
Rubber Products,Nasal Aspirator,Nasal Aspirator,258.42,Rubber Bulb fitted with Plastic Nozzle..,0.000497512,Bauch & Lomb,23/08/2022,23/08/2026,7,25.842,180.894
Surgery,Instrument Kit,ICD Set,3808,ICD InstrumentsÂ Set Containing Following Items:-    S.No.Name of Items    Qty.   ..,0.001492537,B. Braun,4/2/2023,4/2/2027,31,380.8,11804.8
Anesthesia Equipment,Laryngoscope,LED Laryngoscope Set Macintosh (1 Year Warranty),2240,LED laryngoscope Set Macintosh Type (1 Year Warranty)Stainless Steel blades with removable LED lamp ..,0.00199005,Integra,11/6/2022,11/6/2025,27,224,6048
General,Height & Weight Scales,Height Measuring Scale with Mechanical Weighing Scale,2714,A stadiometer is a piece of medical equipment used for measuring human height. It is usually constru..,0.00199005,Johnson & Johnson,27/10/2024,27/10/2027,47,271.4,12755.8
Surgery,Skin Hooks,Cushing Dura Hook,610,Cushing Dura Hook,0.001492537,Siemens Healthineers,17/04/2022,17/04/2026,41,61,2501
Lab Plasticware,Racks & Stands,Test Tube Stand (Wire Pattern-Fix) (Pack of 4 Pcs.),1119.82,These are one piece molded racks and have a three tier grid design. They have good chemical and ther..,0.000497512,Poly Medicure,22/04/2023,22/04/2027,1,111.982,111.982
Surgery,Forceps,Cheatle Forceps,429,Instrument Type : Sterilization ForcepsMaterial : Stainless SteelWorking Surface Style : SerratedDis..,0.001492537,Hindustan Surgical,19/07/2022,19/07/2026,13,42.9,557.7
Anesthesia Equipment,Laryngoscope,IndoSurgicals Disposable Macintosh Type Fiber Optic Laryngoscope (Pack of 1 Blade & 1 Handle),700,High-Quality Fiber Optic Blades: The laryngoscope features fiber optic blades that provide bright an..,0.00199005,Sree Balaji Surgicals,29/09/2023,29/09/2026,11,70,770
Ortho Aid,Walking Sticks,Walking Stick Tips/Shoes,149.1,Specifications :        This tips/shoes gives better grip on any surface..,0.000497512,Narang,3/6/2023,3/6/2027,4,14.91,59.64
Surgery,Suction Units Electric,Suction Unit - SS TOP (35 Ltrs./Min),21000,Housing : Powder coated anti corrosive MSJars : Polycarbonate 2 X 2.5 Ltrs. capacityOverflow Protect..,0.001492537,Bauch & Lomb,19/12/2023,19/12/2027,1,2100,2100
Furniture,Stretchers,Double Fold Stretcher,3127,Folding Double Fold StretcherProduct size: 210 x 53cmÂ  Stretcher pipe made of Aluminium Load ..,0.000497512,Wockhardt Limited,8/5/2023,8/5/2027,23,312.7,7192.1
Surgery,Suction Units Electric,Suction Unit - ABS (30 Ltrs./Min),32088,Housing : FRP (Painted)Jars : Polycarbonate 2 X 2.5 Ltrs. capacityOverflow Protection : Mechanical t..,0.001492537,B. Braun,13/11/2022,13/11/2026,34,3208.8,109099.2
Radiology Aid,Lead Aprons,NoPbÂ® Frontal Protection Lead Apron,12768,Frontal protection lead apron comprised of a front panel from 34â€ to 43â€ long and 20â€ to 28â€ wide co..,0.000497512,Reckitt Benckiser,4/3/2025,4/3/2029,20,1276.8,25536
Lab Equipment,Hot Air Sterilizers,"Hot Air Sterilizer, Triple Wall with Air Circulating System upto 250ÂºC 216 Ltrs",102690.56,"(Laboratory  Electric Oven), Triple Wall with Air Circulating System upto 250ÂºC                In ..",0.000497512,Dolphin Surgical,29/05/2022,29/05/2026,19,10269.056,195112.064
Surgery,Skin Hooks,Cushing Dura Hook,610,Cushing Dura Hook,0.001492537,SISCO ,20/03/2024,20/03/2028,35,61,2135
Other Instruments,Kit,Resuscitation Kit,4999,Adult Resuscitation Kit,0.000497512,Intersurgical,5/5/2024,5/5/2028,21,499.9,10497.9
Surgery,Retractor,Jolls Retractor,3329,Jolls Retractor..,0.001492537,Sree Balaji Surgicals,28/06/2024,28/06/2028,27,332.9,8988.3
Furniture,Wheelchairs,Commode Wheelchair,7913.85,Folding wheelchair with fixed arm & footrestChrome plated steel frame with built in commode func..,0.000497512,Cook India,4/10/2022,4/10/2026,18,791.385,14244.93
OPT Equipments,Electrosurgical Unit,Electrosurgical Unit (Diathermy Machine) 400 DX+,62496,"PRODUCT DETAILS : The 400 DX+ is a 400-watt high power, operating room generator/electrosurgical un..",0.000497512,Palakkad Surgical,10/4/2023,10/4/2027,49,6249.6,306230.4
Linen,Hospital Uniform,Disposable Scrub Suit (Non Woven Fabric),207.9,DisposableMade from Non Woven material..,0.000497512,Cook India,30/11/2023,30/11/2027,15,20.79,311.85
Surgery,Scissors,Tonsil Scissors (Straight),379,"Item Code    Size  94075    6""  94076    7""  94077    8""..",0.001492537,Terumo,31/01/2023,31/01/2027,25,37.9,947.5
Radiology Aid,Lead Aprons,NoPbÂ® Frontal Protection Lead Apron,12768,Frontal protection lead apron comprised of a front panel from 34â€ to 43â€ long and 20â€ to 28â€ wide co..,0.000497512,Poly Medicure,14/11/2023,14/11/2027,38,1276.8,48518.4
General,Cylinder,Oxygen Cylinder 2.0 Ltrs.,6490,"Empty Oxygen Cylinder, Water capacity 2.0 Litre. Supplied with F A Valve with Flowmeter and Pressur..",0.00199005,Tynor Orthotics,28/08/2022,28/08/2025,31,649,20119
Laparoscopic Instrument,Trocar with Cannula,Safety Trocar 3 Blades (3 Dhari) SS,2199,SKUSize935305 mm9353210 mm..,0.000497512,Thyrocare Technologies Limited,18/04/2024,18/04/2028,30,219.9,6597
Surgery,Instrument Kit,Premium Suture Practice Kit with Pad for Students,1549,"A COMPLETE SUTURE PRACTICE KIT - Unlike the other comparable products, it comes with everything a yo..",0.002985075,Johnson & Johnson,23/09/2023,23/09/2027,55,154.9,8519.5
Sterilizers,Non-Electric Autoclave,"Autoclave (13 litres) Non-Electric, Pressure Cooker Type, Mirror Finish",4799,"Mirror Finish, Non-Electric (External Fuel Heated)Approx. Size (Dia. X H): 220mm x 230mm + 38mm Lid ..",0.000995025,Hindustan Syringes,24/05/2024,24/05/2027,45,479.9,21595.5
Anesthesia Equipment,Oxygen Cylinder & Regulators,Oxygen Regulator with Pressure Gauge,849,Oxygen Regulator with Pressure Gauge..,0.00199005,Bard,18/12/2024,18/12/2027,6,84.9,509.4
Other Instruments,Circuit,Bain Circuit,499,Adult Size-22mm corrugated tube,0.000497512,Bard,9/1/2023,9/1/2027,30,49.9,1497
Ortho Aid,Fracture Aids,Fracture Bracing Joint,631.05,Size :        Universal..,0.000497512,Abbott,12/11/2024,12/11/2028,7,63.105,441.735
Anesthesia Equipment,Laryngoscope,Laryngoscope LED Bulb/Lamp,40,Laryngoscope LED Bulb/Lamp..,0.00199005,SISCO ,8/5/2022,8/5/2025,22,4,88
Opthalmology Instruments,Retractor,Mueller Lacrimal Sac Retractor,929,Material: High-quality stainless steelFunction: Used to retract tissues around the lacrimal sac duri..,0.000497512,Dr. Lal PathLabs Limited,20/11/2023,20/11/2027,40,92.9,3716
General,Cylinder,Oxygen Regulator with Pressure Gauge,849,Oxygen Regulator with Pressure Gauge..,0.00199005,Romsons,5/10/2023,5/10/2026,21,84.9,1782.9
Disposables,Transfusion,Veneport (I.V. Cannula) - Pack of 50 Pcs.,868,Premium I.V Cannula.State of the art mechanized manufacturing process of cannula tip ensures easy in..,0.000497512,Abbott,21/03/2025,21/03/2029,43,86.8,3732.4
Anesthesia Equipment,Oxygen Cylinder & Regulators,Flow Meter with Humidifier Bottle,1699,Flow Meter with Humidifier Bottle..,0.00199005,Wockhardt Limited,1/5/2023,1/5/2026,28,169.9,4757.2
Surgery,Forceps,"Ovum Forceps 10""",525,"Ovum Forceps 10""..",0.001492537,Palakkad Surgical,6/4/2024,6/4/2028,7,52.5,367.5
Laparoscopic Instrument,Graspers,Biopsy Grasper,2199,Biopsy Grasper..,0.000497512,Johnson & Johnson,24/06/2024,24/06/2028,21,219.9,4617.9
Lab Equipment,Laboratory Water Bath,Serological Water Bath Thermostatic Controlled With Stirrer & PID Based Digital Controller cum Indicator 13 Ltrs.,33150.88,"Double walled, inside  made of stainless steel 304 grade and outside mild sheet painted with  attrac..",0.000497512,Bard,21/06/2022,21/06/2026,17,3315.088,56356.496
Surgery,Forceps,Littlewood Tissue Forceps,479,Littlewood Tissue Forceps..,0.001492537,HI-TECH LAB PRODUCTS,26/03/2025,26/03/2029,2,47.9,95.8
General,Height & Weight Scales,Height Measuring Scale with Digital Weighing Scale,2832,"Height Measuring Scale, floor model With DIGITAL weighing scale Measuring range : 20 - 205cm with ..",0.00199005,Shilpa Medicare Limited,1/4/2024,1/4/2027,23,283.2,6513.6
Ortho Aid,Wrist & Elbow Splints,Frog Splint,198.45,"Size :        Small, Medium, Large        Specifications :        Foam padded aluminium  splint in u..",0.000497512,Gesco Healthcare,3/9/2023,3/9/2027,12,19.845,238.14
Surgery,Retractor,Adson-Beckman Retractor Folding,3699,"Stainless SteelReusablePremium GradeSKUSize933608""9336110""9336212""..",0.001492537,Delux Surgical,18/05/2024,18/05/2028,13,369.9,4808.7
General,Height & Weight Scales,Height Measuring Scale / Stadiometer (Deluxe Quality),1649,"Product Details:Height Measuring Scale, floor model without weighing scaleMeasuring range : 20 - 210..",0.00199005,GE Healthcare,14/10/2022,14/10/2025,45,164.9,7420.5
Surgery,Forceps,Liga Clip Applicator,2499,Liga Clip Applicator â€“ Precision & Reliability in Surgical ProceduresThe Liga Clip Applicator is..,0.001492537,Intersurgical,15/04/2023,15/04/2027,23,249.9,5747.7
Cardiothoracic Surgery,Stent,Coronary stent,62683,drug-eluting 3.0mm x 18mm,0.000497512,Stryker,1/3/2025,1/3/2029,12,6268.3,75219.6
Opthalmology Instruments,Caliper,Castroviejo Caliper (Curved),1199,Stainless SteelReusablePremium Grade..,0.000497512,Narang,13/12/2023,13/12/2027,14,119.9,1678.6
Other Instruments,Oximeter,Pulse Oximeter,1499,Pulse Oximeter,0.000497512,Intersurgical,5/12/2023,5/12/2027,4,149.9,599.6
Surgery,Forceps,Tonsil Dissecting Forceps Plain,229,"Item Code    Size  94315    6""  94316    7""  94317    8""..",0.001492537,Ben Franklin Opticians,18/12/2023,18/12/2027,47,22.9,1076.3
Surgery,Forceps,Ryder Needle Holder 8â€,520,Ryder Needle Holder 8â€Crafted from premium quality stainless steel with a satin finish to minimize g..,0.001492537,B. Braun,15/09/2023,15/09/2027,22,52,1144
General,Height & Weight Scales,Equinox Digital Baby Weighing Scale,5251,Large 1.2 inch LCD displayMonitors weight and heightBuilt-in memory for 8 infants with 15 records fo..,0.00199005,M/S IMADE TECHNOLOGY PRIVATE LIMITED,6/3/2025,6/3/2028,37,525.1,19428.7
Surgery,Instrument Kit,Advanced Lab Dissection Kit for Biology Anatomy Medical Students,849,Advanced Lab Dissection Kit for Biology Anatomy Medical Students 22 Pieces..,0.001492537,Sree Balaji Surgicals,18/03/2024,18/03/2028,42,84.9,3565.8
Surgery,Retractor,Czerny Retractor,379,"Item Code    Size    97021    6""    97022    7""    97023    9""..",0.001492537,Dr. Lal PathLabs Limited,20/03/2025,20/03/2029,44,37.9,1667.6
Ortho Aid,Knee Calf & Ankle Splints,Ankle Brace,570.15,"Size :        Small, Medium, Large, XLarge         Specifications :        Shoe shaped design       ..",0.000497512,Siemens Healthineers,20/01/2023,20/01/2027,8,57.015,456.12
Ortho Instruments,Instrument Set,Small Fragment Instrument Set,24080,Small Fragment Instrument Set Containing Following Items:-Periosteal Elevator 8 mmDepth Gauge SmallP..,0.000497512,Santosh Surgical Instruments,6/11/2024,6/11/2028,6,2408,14448
OB/GYN Instruments,Forceps,Kogan Endocervical Speculum,4799,Stainless SteelReusablePremium Grade..,0.000497512,GPC Medical,27/05/2024,27/05/2028,6,479.9,2879.4
Disposables,Cardiac Care,Respirometer Breathing Exerciser,299,Breathing Exerciser.Innovative system to exercise respiration through inspiration.Specially designed..,0.000497512,Baxter,3/5/2023,3/5/2027,23,29.9,687.7
Sterilizers,Electric Autoclave,"Fully Automatic Microchip Controlled Autoclave, 21 Ltrs.",20119,This is the fully automatic microchip controlled autoclave. It's a unique vessel that generates stea..,0.000995025,Ben Franklin Opticians,26/10/2024,26/10/2027,7,2011.9,14083.3
Surgery,Forceps,Kelly Placenta Forceps (PPIUCD Forceps),575,"Kelly Placenta Forceps (PPIUCD Forceps)Made from Stainless SteelSize Approx. 12""..",0.001492537,Apollo Hospitals Enterprise Limited,9/2/2025,9/2/2029,18,57.5,1035
Opthalmology Instruments,Speculum,Barraquer Wire Speculum,149,Stainless SteelReusablePremium Grade..,0.000497512,Becton Dickinson,16/05/2022,16/05/2026,46,14.9,685.4
Monitor,BP Monitor,Rossmax CH155 Digital Bp Monitor,1960,Movement Detection with Real Fuzzy TechnologyHypertension Risk Indication and Irregular Heartbeat De..,0.000995025,Karl Storz,8/11/2023,8/11/2027,14,196,2744
Lab Plasticware,Pipette Accessories,Pipette Pump,463.74,IndoSurgicals presents a fast release pipetting device for precise pipetting & zip quick emptyin..,0.000497512,Lotus Surgicals,19/08/2024,19/08/2028,43,46.374,1994.082
Neurology Instruments,Retractor,Love Nerve Root Retractor (Set of 3),1319,"Premium Stainless Steel â€“ Durable, corrosion-resistant, and fully autoclavable for repeated use.Set ..",0.000497512,Boston Scientific,5/7/2024,5/7/2028,32,131.9,4220.8
Ortho Aid,Wrist & Elbow Splints,Wrist and Forearm Splint (Right),418.95,"Size :        Small, Medium, Large, XLarge         Specifications :        Pre shaped splint for  im..",0.000497512,Baxter,3/10/2022,3/10/2026,45,41.895,1885.275
Anesthesia Equipment,Oxygen Mask,Oxygen Mask for Adults,199,Oxygen Mask for Adults Tube Length 200 cm.Oxygen Mask is used for convenient oxygen administration. ..,0.00199005,Trivitron Healthcare Private Limited,5/5/2022,5/5/2025,24,19.9,477.6
General,Height & Weight Scales,"Digital Baby/Child Weighing Machine, Capacity 20 Kg.",5664,Max. Capacity : 20Kg. x 10GBattery : AlkalineDimension (cm) Approx. : 30 x 28 x 6Pan (cm) Approx. : ..,0.00199005,Fortis Healthcare Limited,4/10/2022,4/10/2025,22,566.4,12460.8
Laparoscopic Instrument,Needle Holder,Storz Type Needle Holder,4999,Storz Type Needle Holder..,0.000497512,Girish Surgical Works,11/4/2022,11/4/2026,26,499.9,12997.4
Other Instruments,Airway,Gudel Pattern Airways,252,Guedel Pattern Airways (Set of 6 Pcs.),0.000497512,Intersurgical,19/02/2024,19/02/2028,43,25.2,1083.6
General,Cylinder,Emergency Oxygen Cylinder Kit,8260,Emergency Use.It is Handy and Portable.At the time of shifting patient to the Hospital and Home Use...,0.00199005,Siemens Healthineers,21/12/2022,21/12/2025,21,826,17346
Sterilizers,Electric Autoclave,"Autoclave (24 litres) Electric, Pressure Cooker Type, Epoxy Finish",8699,"Epoxy Finish, Electric, 220V. 50Hz. Single PhaseApprox. Size (Dia. X H):Â 300mm X 300mm + 50mm L..",0.000995025,Palakkad Surgical,29/10/2024,29/10/2027,25,869.9,21747.5
Ortho Instruments,Instrument Set,4mm Cannulated Cancellous Screw Instruments Set,7499,4mm Cannulated Cancellous Screw Instruments Set..,0.000497512,Intersurgical,22/07/2023,22/07/2027,48,749.9,35995.2
OPT Equipments,Electrosurgical Unit,Electrosurgical Unit (Diathermy Machine) 400 DEXTER,151648,"PRODUCT DETAILS : This is a 400-watt high power, operating room generator / Electrosurgical Unit. T..",0.000497512,Santosh Surgical Instruments,10/1/2024,10/1/2028,1,15164.8,15164.8
Rubber Products,Tourniquet,Tourniquet - Latex (25 Pcs.),614.88,"Features: Tourniquet Latex Elastic Strip Tubular Reusable, Non-sterile.
Length: 75-100cm Approx.
I..",0.000497512,KLS Martin India,28/01/2023,28/01/2027,18,61.488,1106.784
Anesthesia Equipment,Artificial Resuscitator,Silicone Artificial Resuscitator (Ambu Type Bag) Adult,899,Autoclavable artificial resuscitator.Capacity: 1600 ml with 60 cm HÂ²O Pop-Off ValveOxygen Reservoir ..,0.00199005,Intersurgical,17/07/2023,17/07/2026,50,89.9,4495
Spine Surgery,Forceps,Disc Punch Forceps (Serrated) Up,3499,Stainless SteelReusablePremium Grade,0.000497512,Integra,22/09/2024,22/09/2028,8,349.9,2799.2
Lab Plasticware,Measuring Jugs,Measuring Jugs (Euro Design),697.38,"These handy jugs, moulded in polypropylene, are clear, autoclavable and have good chemical resistanc..",0.000497512,Becton Dickinson,4/11/2024,4/11/2028,7,69.738,488.166
Anesthesia Equipment,Oxygen Cylinder & Regulators,Portable Oxygen Cylinder 6 liters,800.8,Oxygen for personal use comes packaged in a 500 ml OXY99 can comprising of 6 liters of oxygen. Now t..,0.00199005,Olympus,12/8/2022,12/8/2025,10,80.08,800.8
Ortho Aid,Back Splints,Taylor's Brace/Dorso Lumbar Brace,915.6,"Size :        Small, Medium, Large        Specifications :        Elastic abdominal  panels provide ..",0.000497512,Inor Medical Products Ltd,20/12/2024,20/12/2028,37,91.56,3387.72
Radiology Aid,X-Ray View Box,Slim LED X Ray View Box (25mm Thickness) With Dimmer & Sensor - Single Film,8900,It has the thickness of 25mm (less than 1 inches)All Sizes X-Ray View Box comes with dimmer to Adjus..,0.000497512,Boston Scientific,1/11/2024,1/11/2028,5,890,4450
General,Height & Weight Scales,Baby Weighing Scales (Pan Type),1593,Baby Weighing Scales. Plastic Die Cast Body with Plastic Pan.Capacity : 10Kg. and 20 Kg. & Gradu..,0.00199005,Sree Balaji Surgicals,19/01/2024,19/01/2027,32,159.3,5097.6
Surgery,Instrument Kit,Gynecology Instruments Set,1792,Gynecology instrument Set Containing Following Items:-    S.No.Name of Items    Qty.  ..,0.001492537,Baxter,23/04/2022,23/04/2026,7,179.2,1254.4
OB/GYN Instruments,Vacuum Extractor Sets - Manual,"Vacuum Extractor Set, Manual Operated",3599,"Vacuum Extractor Set, Manual operated complete with 3 stainless steel cups (40,50,60mm)Autoclavabl..",0.000497512,Bauch & Lomb,8/4/2022,8/4/2026,46,359.9,16555.4
OB/GYN Instruments,OB/GYN,"Somer Uterine Elevating Forceps, 10""",1249,Broad tips for secure gripFenestrated tips prevent soft tissue damageRing handles for superior contr..,0.000497512,Vishal Surgitech,26/08/2022,26/08/2026,26,124.9,3247.4
Hollowware,Super Deluxe Quality,"Dressing Drum 9"" x 5"" (Super Deluxe) Seamless",1249,"Dressing Drum, domed top and bottom with sliding removable band and drop down-hasps            Stain..",0.000497512,GE Healthcare,20/11/2022,20/11/2026,20,124.9,2498
Laparoscopic Instrument,Trocar with Cannula,Safety Trocar (Blunt) SS,2199,SKUSize934185mm934197mm9342010mm..,0.000497512,HI-TECH LAB PRODUCTS,19/11/2023,19/11/2027,43,219.9,9455.7
Surgery,Forceps,Tungsten Carbide (TC) Mayo Hegar Needle Holder,1899,"Tungsten Carbide (TC) Mayo Hegar Needle HolderSize approx. 6""SKUSize965706""965717""965728""..",0.001492537,KLS Martin India,25/07/2022,25/07/2026,2,189.9,379.8
Anesthesia Equipment,Oxygen Cylinder & Regulators,Oxygen Cylinder 5.0 Ltrs.,7788,"Empty Oxygen Cylinder, Water capacity 5.0 Litre.Supplied with F A Valve with Flowmeter and Pressure ..",0.00199005,Johnson & Johnson,6/6/2023,6/6/2026,10,778.8,7788
Anesthesia Equipment,Oxygen Cylinder & Regulators,Flow Meter with Humidifier Bottle,1699,Flow Meter with Humidifier Bottle..,0.00199005,Santosh Surgical Instruments,13/01/2024,13/01/2027,1,169.9,169.9
Hollowware,Gallipot,Gallipot Medicine Cup with Lid,332.64,Stainless Steel            With Cover              Item Code    Size Dia. x Height (approx.)    Capa..,0.000497512,Hindustan Syringes,24/02/2024,24/02/2028,11,33.264,365.904
Surgery,Instrument Kit,Gynecology Instruments Set,1792,Gynecology instrument Set Containing Following Items:-    S.No.Name of Items    Qty.  ..,0.001492537,Olympus,28/10/2022,28/10/2026,38,179.2,6809.6
Anesthesia Equipment,Oxygen Mask,Oxygen Mask for Child,199,Tube Length 210 cm.Oxygen Mask is used for convenient oxygen administration. Manufactured from soft ..,0.00199005,Tynor Orthotics,4/4/2022,4/4/2025,27,19.9,537.3
OB/GYN Instruments,Pessaries,Ring Vaginal Pessary Silicone Non Sterile (Large) - 1 Pc.,327.04,IndoSurgicals Ring Vaginal Pessary are 100% silicone pessaries that are used in the management of va..,0.000497512,Thyrocare Technologies Limited,8/6/2022,8/6/2026,25,32.704,817.6
Hollowware,Bed Pan & Urinal,"Bedpan for adult, Polypropylene, Autoclavable",336,Bedpan for adult with coverMade of polypropyleneAutoclavable                          Item Code     ..,0.000497512,Arena Medical Care,2/8/2024,2/8/2028,25,33.6,840
Hollowware,Feeding Cup,Feeding Cup (2 Pcs.),769,Heavy Duty Stainless SteelPack of 2 Pcs...,0.000497512,Abbott,4/6/2022,4/6/2026,12,76.9,922.8
Surgery,Forceps,"Ovum Forceps 10""",525,"Ovum Forceps 10""..",0.001492537,Dolphin Surgical,8/9/2023,8/9/2027,23,52.5,1207.5
Ortho Instruments,Twister,Tungsten Carbide (TC) Wire Twister,2296,"Tungsten Carbide (TC) Wire TwisterSKUSize366006""366018""..",0.000497512,Hindustan Syringes,7/3/2025,7/3/2029,7,229.6,1607.2
General,Cylinder,Oxygen Cylinder 3.0 Ltrs.,6749.6,"Empty Oxygen Cylinder, Water capacity 3.0 Litre.Supplied with F A Valve with Flowmeter and Pressure ..",0.00199005,Apollo Hospitals Enterprise Limited,30/06/2023,30/06/2026,8,674.96,5399.68
Surgery,Suction Units Portable,Suction Unit - ABS (20 Ltrs./Min),8960,Housing : Complete ABS  (Plastic)Jars : Polycarbonate 1000ml  capacityOverflow Protection : Mechanic..,0.001492537,Wockhardt Limited,28/07/2022,28/07/2026,26,896,23296
Anesthesia Equipment,Anaesthesia Face Masks,"Face Mask, Size 0",196,"Anaesthesia Face Mask, Size 00            Made from silicon (green)Size: 00        Round Sha..",0.00199005,Bard,13/10/2022,13/10/2025,11,19.6,215.6
Ortho Instruments,Shears,Bohler Plaster Shears,1599,Bohler Plaster Shears..,0.000497512,Intersurgical,2/9/2023,2/9/2027,44,159.9,7035.6
Cardiothoracic Instrument,Clamp,DeBakey Bulldog Clamp (Curved),949,"Stainless SteelReusablePremium GradeSKUSize933211.5""933222""933232.5""933243""933253.5""933264""933274.5""..",0.001492537,GE Healthcare,29/03/2023,29/03/2027,29,94.9,2752.1
Surgery,Forceps,"Wilson Artery Forceps, 8""",616,Curved shafts & jaws for enhanced sightlines.Transversely serrated jaws to ensure a firm grip.Er..,0.001492537,GE Healthcare,10/10/2022,10/10/2026,38,61.6,2340.8
Furniture,Stretchers,Spine Board Stretcher,8899.56,Size: 184 x 45 x 7 cm (L x W x H)Â Self Weight: 7.5 KgÂ Load weight: 159 Kg...,0.000497512,SISCO ,3/11/2024,3/11/2028,3,889.956,2669.868
Anesthesia Equipment,Nebulizer Face Mask,Nebulizer Face Mask Kit for Child,199,"Compatible with most standard nebulizer kits.Reusable mask, must only be hand washed.Soft anatomical..",0.00199005,Wockhardt Limited,12/7/2022,12/7/2025,39,19.9,776.1
Surgery,Forceps,Ryder Needle Holder 8â€,520,Ryder Needle Holder 8â€Crafted from premium quality stainless steel with a satin finish to minimize g..,0.001492537,Poly Medicure,20/02/2023,20/02/2027,16,52,832
Surgery,Forceps,"Negus Artery Forceps 8""",649,Stainless SteelReusablePremium Grade..,0.001492537,HI-TECH LAB PRODUCTS,4/5/2024,4/5/2028,21,64.9,1362.9
Laparoscopic Instrument,Needle Holder,Storz Type Needle Holder,4999,Storz Type Needle Holder..,0.000497512,GPC Medical,21/12/2024,21/12/2028,38,499.9,18996.2
Furniture,Hospital Trolleys,Crash Cart Trolley Stainless Steel,30308.3,Overall approx size: 940 mm x 490 mm x 1535 mm (L x W x H).Â Stainless Steel tubular frame.Â ..,0.000497512,KLS Martin India,4/9/2023,4/9/2027,25,3030.83,75770.75
Ortho Aid,Walkers,"Walker Folding with 2 Wheels, Adjustable",2899.05,"Specifications :        Light weight,  aluminium tubular construction with powder coated finish...",0.000497512,Shilpa Medicare Limited,1/8/2022,1/8/2026,38,289.905,11016.39
Surgery,Scissors,Suture Cutting Scissors,389,Suture Cutting Scissors..,0.002985075,Johnson & Johnson,10/9/2022,10/9/2026,31,38.9,1205.9
